word,len
t ɯ0 t s a0,5
t ɯ0 t s a0 n,6
t ɯ0 t ӑ n s a0,7
t ɯ0 t ӑ n s a0 n,8
t ɯ0 t ӑ n s e0 m,8
t ɯ0 t ӑ n s e0 n,8
t ɯ0 t ӑ n a0,6
t ɯ0 t ӑ n a0 t,7
t ɯ0 t ӑ n a0 ɕː ӗ,8
t ɯ0 t ӑ n a0 χ,7
t ɯ0 t ӑ m n e0,7
t ɯ0 t ӑ m ӗ n tʃ e0,9
t ɯ0 t ӑ m ӗ n tʃ e0 n,10
t ɯ0 t ӑ m ӗ n tʃ i0,9
t ɯ0 t ӑ m ӗ p e0,8
t ɯ0 t ӑ m r a0,7
t ɯ0 t ӑ m l ӑ χ a0,9
t ɯ0 t ӑ m l ӑ χ n e0,10
t ɯ0 t ӑ r a0 χ,7
t ɯ0 t ӑ r a0 t,7
t ɯ0 t ӑ r a0 t p ӑ r,10
t ɯ0 t ӑ r a0 t ӑ p,9
t ɯ0 t ӑ nː i0,6
t ɯ0 t a0 t,5
t ɯ0 t a0 t ӑ p,7
t ɯ0 t a0 r n ӑ,7
t ɯ0 t a0 r l ӑ,7
t ɯ0 t a0 ɕː ӗ,6
t ɯ0 t a0 m ӗ,6
t ɯ0 t a0 nː ӑ,6
t ɯ0 t a0 s,5
t ɯ0 t k ӑ n a0,7
t ɯ0 t k ӑ n a0 t,8
t ɯ0 t k ӑ n a0 ɕː ӗ,9
t ɯ0 t k ӑ n a0 χ,8
t ɯ0 t k ӑ n r i0,8
t ɯ0 t m a0,5
t ɯ0 r p u0 l,6
t ɯ0 r p u0 l ӑ χ ӗ,9
t ɯ0 r p u0 l ӑ χ,8
t ɯ0 r p u0 l ӑ,7
t ɯ0 r ӑ nː e0,6
t ɯ0 r ӑ n t a0,7
t ɯ0 r ӑ n t a0 n,8
t ɯ0 r ӑ n t a0 r n ӑ,10
t ɯ0 r ӑ n t a0 r l ӑ,10
t ɯ0 r ӑ n t a0 χ,8
t ɯ0 r ӑ n t i0,7
t ɯ0 r ӑ n a0,6
t ɯ0 r ӑ n a0 t,7
t ɯ0 r ӑ n a0 ɕː ӗ,8
t ɯ0 r ӑ n a0 χ,7
t ɯ0 r ӑ n ӗ n tʃ e0,9
t ɯ0 r ӑ n ӗ n tʃ e0 n,10
t ɯ0 r ӑ n ӗ n tʃ i0,9
t ɯ0 r ӑ n ӗ s e0 m,9
t ɯ0 r ӑ n ӗ s e0 n,9
t ɯ0 r ӑ n ӗ p e0,8
t ɯ0 r ӑ n s a0,7
t ɯ0 r ӑ n s a0 n,8
t ɯ0 r ӑ n s e0 m,8
t ɯ0 r ӑ n s e0 n,8
t ɯ0 r ӑ s l a0,7
t ɯ0 r ӑ s l a0 n ӑ,9
t ɯ0 r ӑ s l a0 ɕː ӗ,9
t ɯ0 r ӑ s l a0 r ӗ,9
t ɯ0 r ӑ s l a0 r ӗ ɕ,10
t ɯ0 r ӑ s p a0,7
t ɯ0 r ӑ sː e0 m,7
t ɯ0 r ӑ sː e0 n,7
t ɯ0 r ӑ v ӗ n tʃ e0,9
t ɯ0 r ӑ v ӗ n tʃ e0 n,10
t ɯ0 r ӑ v ӗ n tʃ i0,9
t ɯ0 r ӑ v ӗ s e0 m,9
t ɯ0 r ӑ v ӗ s e0 n,9
t ɯ0 r ӑ v ӗ p e0,8
t ɯ0 r ӑ v a0,6
t ɯ0 r ӑ v n e0,7
t ɯ0 r ӑ p a0,6
t ɯ0 r ӑ p u0 l,7
t ɯ0 r ӑ p u0 l ӑ χ ӗ,10
t ɯ0 r ӑ p u0 l ӑ χ,9
t ɯ0 r ӑ p u0 l ӑ,8
t ɯ0 m a0,4
t ɯ0 m a0 r,5
t ɯ0 m a0 r ӗ,6
t ɯ0 m a0 r ӗ ɕ,7
t ɯ0 m a0 n,5
t ɯ0 m a0 s t,6
t ɯ0 rː a0,4
t u0 m a0,4
t u0 m a0 n,5
t u0 m a0 χ,5
t u0 m a0 j ӑ ʃ ӗ,8
t u0 m a0 j ӑ n,7
t u0 m a0 j ӑ k,7
t u0 m a0 j ӗ ʃ ӗ,8
t u0 m a0 j l ӑ,7
t u0 m a0 ʃ k ӑ n,8
t u0 m a0 s t,6
t u0 m a0 s ӑ r,7
t u0 m t i0 r,6
t u0 m t i0 r ӗ,7
t u0 m n e0,5
t u0 χ a0 t,5
t u0 χ a0 t n ӑ,7
t u0 χ a0 t m ӑ ʃ,8
t u0 χ a0 t m ӑ ʃ ӗ,9
t u0 χ a0 ɕː ӗ,6
t u0 χ a0 n,5
t u0 χ a0 l n ӑ,7
t u0 χ a0 l tʃ ӗ,7
t u0 χ a0 s,5
t u0 χ a0 s ʃ ӑ n,8
t u0 χ a0,4
t u0 χ a0 lː ӑ,6
t u0 χ a0 j,5
t u0 χ m a0,5
t u0 χ m a0 n,6
t u0 χ m a0 χ,6
t u0 χ m a0 s t,7
t u0 χ m a0 s ӑ r,8
t u0 χ m a0 ɕː ӗ,7
t u0 χ s a0,5
t u0 χ s a0 n,6
t u0 χ s a0 sː ӑ n,8
t u0 χ ӑ ʃ a0,6
t u0 χ ӑ ʃ a0 t,7
t u0 χ ӑ ʃ a0 t ӑ n,9
t u0 χ ӑ ʃ a0 t ӑ p,9
t u0 χ ӑ ʃ a0 t ӑ v ӗ,10
t u0 χ ӑ ʃ a0 ɕː ӗ,8
t u0 χ ӑ ʃ a0 s,7
t u0 χ ӑ ʃ n e0,7
t u0 χ ӑ ʃ n i0,7
t u0 χ ӑ ʃ ӗ p e0,8
t u0 χ ӑ ʃ ӗ p e0 χ,9
