word,len
ɑ0 m b ɔ0 ʁ dʒ,6
ɑ0 m b ɔ0 χ,5
ɑ0 m b ɑ0 ɾ,5
ɑ0 m b ɑ0 v,5
ɑ0 m b ɑ0 n,5
ɑ0 m b j u0 ɾ,6
ɑ0 m b j u0 ʁ,6
ɑ0 m b ɛ0 tsʰ,5
ɑ0 m i0 s,4
ɑ0 m i0 n,4
ɑ0 m i0 n n,5
ɑ0 m i0 n s,5
ɑ0 m i0 n d,5
ɑ0 m i0,3
ɑ0 m i0 tsʰ s,5
ɑ0 m i0 tsʰ,4
ɑ0 m i0 ɾ,4
ɑ0 m u0 ɾ,4
ɑ0 m u0 ɾ dʒ,5
ɑ0 m u0,3
ɑ0 m u0 n,4
ɑ0 m u0 n kʰ,5
ɑ0 m u0 n kʰ n,6
ɑ0 m u0 tsʰ,4
ɑ0 m u0 l,4
ɑ0 m u0 m,4
ɑ0 m s v ɑ0,5
ɑ0 m s v ɑ0 ts,6
ɑ0 m s v ɑ0 ts n,7
ɑ0 m s v ɑ0 ts kʰ,7
ɑ0 m s u0 m,5
ɑ0 m s i0 n kʰ n,7
ɑ0 m s i0 n kʰ,6
ɑ0 m s i0 n,5
ɑ0 m s i0 n tʃʰ,6
ɑ0 m s i0 tsʰ,5
ɑ0 m s i0,4
ɑ0 m s ɔ0 v,5
ɑ0 m j ɑ0,4
ɑ0 m j ɑ0 n,5
ɑ0 m ɛ0 n n,5
ɑ0 m ɛ0 n,4
ɑ0 m ɛ0 n kʰ,5
ɑ0 m ɛ0 s t,5
ɑ0 m ɛ0 ʁ,4
ɑ0 m ɛ0 ɾ ɡ,5
ɑ0 m ɛ0 ɾ,4
ɑ0 m ɛ0 l,4
ɑ0 m p i0,4
ɑ0 m p ə0,4
ɑ0 m p ɛ0 ɾ,5
ɑ0 m p ɛ0 ɾ n,6
ɑ0 m ɔ0 tʰ,4
ɑ0 m ɔ0 v,4
ɑ0 m ɾ dʒ i0,5
ɑ0 m ɾ ɔ0 tsʰ,5
ɑ0 m ɑ0 ɾ d,5
ɑ0 m ɑ0 ɾ d n,6
ɑ0 m ɑ0 ɾ,4
ɑ0 m ɑ0 j n kʰ,6
ɑ0 m ɑ0 j n,5
ɑ0 m ɑ0 k,4
ɑ0 m ɑ0 k n,5
ɑ0 m ɑ0 n,4
ɑ0 m ɑ0 n tsʰ,5
ɑ0 m ɑ0 n n,5
ɑ0 m ɑ0 n kʰ,5
ɑ0 m ɑ0 tsʰ,4
ɑ0 m ɑ0 r,4
ɑ0 m ɑ0 kʰ,4
ɑ0 m ɑ0,3
ɑ0 m r ɑ0 n tsʰ,6
ɑ0 m r ɑ0 n,5
ɑ0 m r ɑ0 n ɡ,6
ɑ0 s t ts u0 n,6
ɑ0 s t ɑ0 t,5
ɑ0 s t ɑ0 m b,6
ɑ0 s t ɑ0 ɾ k,6
ɑ0 s t ɑ0 ɾ,5
ɑ0 s t i0 k,5
ɑ0 s t i0,4
ɑ0 s t u0 m,5
